testdir,nranks,epcnt,epsz,wrsz,blksz,access,bw(MiB/s),IOPS,Latency(s),block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),iter
/mnt/lt20ad1/fio-jobdir,16,6,372,2232M,1m,write,1977.18,1977.34,0.005123,2285568,1024.00,0.016573,18.06,6.63,18.06,0,
/mnt/lt20ad1/fio-jobdir,16,9,372,3348M,1m,write,1670.43,1670.51,0.004817,3428352,1024.00,0.008473,32.07,16.36,32.07,0,
/mnt/lt20ad1/fio-jobdir,16,12,372,4464M,1m,write,1489.31,1489.36,0.007320,4571136,1024.00,0.007935,47.96,21.48,47.96,0,
/mnt/lt20ad1/fio-jobdir,64,1,372,372M,1m,write,2055.45,2055.68,0.019377,380928,1024.00,0.009141,11.58,8.06,11.58,0,
/mnt/lt20ad1/fio-jobdir,64,3,372,1116M,1m,
/mnt/lt20ad1/fio-jobdir,64,6,372,2232M,1m,write,1755.20,1755.23,0.017729,2285568,1024.00,0.017984,81.38,55.47,81.39,0,
/mnt/lt20ad1/fio-jobdir,64,9,372,3348M,1m,write,1894.30,1894.32,0.025487,3428352,1024.00,0.006924,113.11,72.35,113.11,0,
/mnt/lt20ad1/fio-jobdir,64,12,372,4464M,1m,write,1849.49,1849.50,0.016395,4571136,1024.00,0.012540,154.47,93.28,154.47,0,
/mnt/lt20ad1/fio-jobdir,512,1,372,372M,1m,
/mnt/lt20ad1/fio-jobdir,512,3,372,1116M,1m,write,2094.26,2094.27,0.147854,1142784,1024.00,0.019073,272.84,160.19,272.84,0,
/mnt/lt20ad1/fio-jobdir,512,6,372,2232M,1m,write,2200.58,2200.59,0.200590,2285568,1024.00,0.019891,519.31,258.82,519.31,0,
/mnt/lt20ad1/fio-jobdir,512,9,372,3348M,1m,write,1965.43,1965.45,0.230298,3428352,1024.00,0.026779,872.16,498.83,872.16,0,
/mnt/lt20ad1/fio-jobdir,512,12,372,4464M,1m,write,2002.13,2002.14,0.146728,4571136,1024.00,0.019299,1141.57,608.42,1141.57,0,
/mnt/lt20ad1/fio-jobdir,16,1,372,372M,1m,write,403.88,403.92,0.005901,380928,1024.00,0.012404,14.74,12.75,14.74,0,
