,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,max_fin_dura,total_io_time
42,dfs-reg-suite,15,128,6,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,35639.0,38320.0,35775.0,38481.0,35805.0,38055.0,35751.0,37897.0,35849.0,37813.0,35749.0,41736.0,762.644,233065.205
43,dfs-reg-suite,12,1024,1,3300000,3300000,,,,,,,,,,,0,0,20888.0,50971.0,,,,,,,,,,,48325.409999999996,99296.835
44,dfs-reg-suite,14,256,3,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,0,0,26429.0,28487.0,26745.0,28886.0,36425.0,43480.0,,,,,,,50793.028999999995,151646.12099999998
45,dfs-reg-suite,13,256,3,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,0,0,27555.0,29651.0,26775.0,28487.0,34257.0,38914.0,,,,,,,29070.471999999998,126122.226
46,dfs-reg-suite,14,128,6,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,35309.0,39248.0,36030.0,38656.0,35297.0,38505.0,36483.0,38288.0,35468.0,41462.0,41302.0,46369.0,14140.473,256668.602
47,dfs-reg-suite,11,512,1,6500000,6600000,,,,,,,,,,,0,0,48345.0,100956.0,,,,,,,,,,,1907.747,102863.666
48,dfs-reg-suite,12,512,1,6500000,6600000,,,,,,,,,,,0,0,38976.0,59872.0,,,,,,,,,,,15154.644,75026.64199999999
49,dfs-reg-suite,15,256,3,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,0,0,28604.0,31412.0,26403.0,28627.0,28374.0,30990.0,,,,,,,40431.831000000006,131460.973
50,dfs-reg-suite,15,512,1,6500000,6600000,,,,,,,,,,,0,0,33845.0,85956.0,,,,,,,,,,,11145.827000000001,97101.785
51,dfs-reg-suite,11,256,3,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,0,0,27246.0,29043.0,26068.0,29348.0,35203.0,41009.0,,,,,,,42242.893000000004,141642.546
52,dfs-reg-suite,14,1024,1,3300000,3300000,,,,,,,,,,,0,0,26376.0,45605.0,,,,,,,,,,,48989.756,94594.914
53,dfs-reg-suite,12,128,6,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,35152.0,38193.0,36327.0,38738.0,35751.0,38107.0,36602.0,38768.0,34059.0,38140.0,36675.0,38767.0,2307.192,233019.65000000002
54,dfs-reg-suite,13,1024,1,3300000,3300000,,,,,,,,,,,0,0,25266.0,55889.0,,,,,,,,,,,19946.739,75835.639
55,dfs-reg-suite,13,512,1,6500000,6600000,,,,,,,,,,,0,0,30093.0,41417.0,,,,,,,,,,,19749.182,61166.382
56,dfs-reg-suite,14,512,1,6500000,6600000,,,,,,,,,,,0,0,27762.0,42192.0,,,,,,,,,,,9281.245,51473.117
57,dfs-reg-suite,15,1024,1,3300000,3300000,,,,,,,,,,,0,0,27315.0,56074.0,,,,,,,,,,,18872.338,74945.85800000001
58,dfs-reg-suite,11,128,6,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,35635.0,37794.0,35985.0,37117.0,35284.0,38636.0,35615.0,38009.0,36741.0,39331.0,38549.0,41052.0,2509.1580000000004,234447.441
59,dfs-reg-suite,11,1024,1,3300000,3300000,,,,,,,,,,,0,0,26155.0,55242.0,,,,,,,,,,,24279.658000000003,79521.957
