,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax
31,carp-suite-intraepoch-nowrite,11,256,3,750000,2048,6200000,9500000,0.057,0,33510.0,33655.0,14391.636999999999,110505.608,6200000.0,9500000.0,6200000.0,9500000.0,30343.0,30515.0,31693.0,31944.0,,,,,,,,,,,,
32,carp-suite-intraepoch-nowrite,12,1024,1,750000,512,126900,4400000,0.067,0,21625.0,21870.0,3.901,21873.614,,,,,,,,,,,,,,,,,,,,
33,carp-suite-intraepoch-nowrite,11,256,3,1000000,2048,6200000,9100000,0.05,0,32369.999999999996,32558.0,17537.514000000003,112282.947,6200000.0,9100000.0,6200000.0,9100000.0,30443.0,30560.0,31476.0,31627.0,,,,,,,,,,,,
34,carp-suite-intraepoch-nowrite,11,512,1,1000000,2048,221300,9800000,0.467,0,56009.0,63452.0,26519.179,89971.06999999999,,,,,,,,,,,,,,,,,,,,
35,carp-suite-intraepoch-nowrite,11,128,6,1000000,512,5600000,7600000,0.038,0,37575.0,37661.0,1927.946,223073.913,5600000.0,7600000.0,5600000.0,7600000.0,37266.0,37372.0,37386.0,37495.0,5600000.0,7600000.0,5600000.0,7600000.0,5600000.0,7600000.0,36337.0,36495.0,36272.0,36457.0,35483.0,35667.0
36,carp-suite-intraepoch-nowrite,11,256,3,750000,1024,6200000,9700000,0.06,0,31652.0,31821.0,30763.443,129394.677,6200000.0,9700000.0,6200000.0,9700000.0,33748.0,33861.0,32776.0,32950.0,,,,,,,,,,,,
37,carp-suite-intraepoch-nowrite,14,128,6,750000,512,6200000,12900000,0.107,0,37689.0,37818.0,0.772,237548.787,4500000.0,13900000.0,6100000.0,10900000.0,41420.0,41527.0,41876.0,41995.0,4500000.0,12200000.0,4099999.0,14700000.0,4800000.0,13500000.0,36953.0,37040.0,40599.0,40767.0,38193.0,38402.0
38,carp-suite-intraepoch-nowrite,11,1024,1,1000000,1024,196600,4000000,0.304,0,40697.0,59098.0,20731.783,79829.973,,,,,,,,,,,,,,,,,,,,
39,carp-suite-intraepoch-nowrite,12,256,3,750000,512,5100000,15100000,0.076,0,33409.0,33556.0,1.986,100732.926,6100000.0,13600000.0,6100000.0,12800000.0,34018.0,34179.0,32842.0,32996.0,,,,,,,,,,,,
40,carp-suite-intraepoch-nowrite,11,512,1,750000,512,1700000,10000000,0.059,0,32085.0,32293.999999999996,1.771,32296.16,,,,,,,,,,,,,,,,,,,,
41,carp-suite-intraepoch-nowrite,11,128,6,750000,512,6300000,12100000,0.115,0,35584.0,35702.0,0.897,235564.09300000002,6200000.0,10800000.0,6100000.0,10100000.0,38903.0,39057.0,39010.0,39110.0,6200000.0,11000000.0,4200000.0,14200000.0,4400000.0,14500000.0,39907.0,39995.0,40752.0,40894.0,40674.0,40805.0
42,carp-suite-intraepoch-nowrite,15,128,6,750000,512,6000000,10400000,0.087,0,36083.0,36194.0,0.925,232035.557,4400000.0,11800000.0,6200000.0,11500000.0,39876.0,40066.0,39448.0,39631.0,4700000.0,9500000.0,6200000.0,11200000.0,4600000.0,12400000.0,36189.0,36394.0,39786.0,39922.0,39617.0,39827.0
43,carp-suite-intraepoch-nowrite,15,256,3,750000,512,6300000,13100000,0.091,0,31256.0,31381.0,1.292,104150.00200000001,4900000.0,13700000.0,6000000.0,13800000.0,36368.0,36513.0,36052.0,36255.0,,,,,,,,,,,,
44,carp-suite-intraepoch-nowrite,11,512,1,750000,1024,344900,8600000,0.295,0,58641.0,63367.0,27077.231,90444.564,,,,,,,,,,,,,,,,,,,,
45,carp-suite-intraepoch-nowrite,11,512,1,1000000,1024,204000,11600000,0.577,0,62964.0,67121.0,25530.561999999998,92651.98,,,,,,,,,,,,,,,,,,,,
46,carp-suite-intraepoch-nowrite,15,1024,1,750000,512,276700,4700000,0.099,0,27090.0,27310.0,4.1000000000000005,27313.662,,,,,,,,,,,,,,,,,,,,
47,carp-suite-intraepoch-nowrite,11,1024,1,750000,2048,179300,4099999,0.327,0,40307.0,62530.0,19201.825,81731.669,,,,,,,,,,,,,,,,,,,,
48,carp-suite-intraepoch-nowrite,14,1024,1,750000,512,328100,4900000,0.062,0,19751.0,19980.0,4.1450000000000005,19984.275,,,,,,,,,,,,,,,,,,,,
49,carp-suite-intraepoch-nowrite,11,1024,1,1000000,2048,178800,4099999,0.327,0,41858.0,45216.0,26838.946,72054.782,,,,,,,,,,,,,,,,,,,,
50,carp-suite-intraepoch-nowrite,13,256,3,750000,512,5100000,14200000,0.085,0,32600.0,32720.999999999996,0.929,100891.767,6200000.0,12200000.0,5500000.0,13500000.0,33464.0,33601.0,34425.0,34569.0,,,,,,,,,,,,
51,carp-suite-intraepoch-nowrite,13,512,1,750000,512,2700000,11700000,0.065,0,34782.0,34971.0,3.527,34974.935000000005,,,,,,,,,,,,,,,,,,,,
52,carp-suite-intraepoch-nowrite,11,256,3,750000,512,6200000,12500000,0.071,0,31408.0,31581.0,1.2080000000000002,106514.675,5600000.0,12800000.0,5900000.0,11600000.0,35336.0,35493.0,39308.0,39439.0,,,,,,,,,,,,
53,carp-suite-intraepoch-nowrite,11,128,6,750000,2048,3800000,7200000,0.052,0,36197.0,36331.0,1320.0529999999999,225361.95799999998,3800000.0,7200000.0,3800000.0,7200000.0,37902.0,38055.0,38861.0,39023.0,3800000.0,7200000.0,3800000.0,7200000.0,3800000.0,7200000.0,35725.0,35878.0,37237.0,37446.0,37155.0,37309.0
54,carp-suite-intraepoch-nowrite,11,512,1,1000000,512,247700,10900000,0.463,0,69713.0,73137.0,21227.143,94364.515,,,,,,,,,,,,,,,,,,,,
55,carp-suite-intraepoch-nowrite,13,128,6,750000,512,4000000,13600000,0.077,0,37600.0,37688.0,1.38,227044.696,6000000.0,10500000.0,6100000.0,10200000.0,37144.0,37333.0,38994.0,39195.0,5200000.0,11200000.0,5900000.0,9800000.0,6300000.0,10800000.0,37513.0,37624.0,35192.0,35282.0,39733.0,39921.0
56,carp-suite-intraepoch-skipsort,11,128,6,1000000,1024,4300000,7200000,0.043,0,38023.0,38130.0,266.40500000000003,225265.549,4300000.0,7200000.0,4300000.0,7200000.0,36136.0,36286.0,37100.0,37209.0,4300000.0,7200000.0,4300000.0,7200000.0,4300000.0,7200000.0,36442.0,36592.0,37171.0,37263.0,39293.0,39518.0
57,carp-suite-intraepoch-skipsort,11,1024,1,1000000,512,187300,4300000,0.228,0,41480.0,42649.0,13167.952,55817.182,,,,,,,,,,,,,,,,,,,,
58,carp-suite-intraepoch-skipsort,11,128,6,1000000,2048,6200000,8700000,0.045,0,39323.0,39437.0,284.693,240919.14299999998,6200000.0,8700000.0,6200000.0,8700000.0,40625.0,40730.0,39221.0,39349.0,6200000.0,8700000.0,6200000.0,8700000.0,6200000.0,8700000.0,40015.0,40109.0,40364.0,40487.0,40402.0,40522.0
59,carp-suite-intraepoch-skipsort,11,1024,1,750000,1024,188000,4099999,0.3,0,45635.0,65369.0,25300.736,90670.12,,,,,,,,,,,,,,,,,,,,
60,carp-suite-intraepoch-skipsort,11,1024,1,750000,512,71900,4200000,0.098,0,76644.0,76868.0,12303.478000000001,89171.825,,,,,,,,,,,,,,,,,,,,
61,carp-suite-intraepoch-skipsort,11,512,1,750000,2048,280800,9800000,0.343,0,59127.0,72855.0,35382.503,108237.252,,,,,,,,,,,,,,,,,,,,
62,carp-suite-intraepoch-skipsort,11,256,3,1000000,512,6200000,10800000,0.066,0,32938.0,33080.0,45691.898,149297.35400000002,6200000.0,10800000.0,6200000.0,10800000.0,33932.0,34038.0,36335.0,36487.0,,,,,,,,,,,,
63,carp-suite-intraepoch-skipsort,11,256,3,1000000,1024,6200000,11000000,0.074,0,31066.0,31223.0,45008.608,145745.61299999998,6200000.0,11000000.0,6200000.0,11000000.0,34017.0,34114.0,35260.0,35400.0,,,,,,,,,,,,
64,carp-suite-intraepoch-skipsort,11,128,6,750000,1024,4900000,7400000,0.042,0,36470.0,36571.0,250.40800000000002,223886.96600000001,4900000.0,7400000.0,4900000.0,7400000.0,36858.0,37019.0,36778.0,36913.0,4900000.0,7400000.0,4900000.0,7400000.0,4900000.0,7400000.0,37128.0,37273.0,36610.0,36818.0,38874.0,39043.0
65,carp-suite-intraepoch-skipsort,11,256,3,750000,2048,5000000,8100000,0.043,0,28483.0,28634.0,25277.363,121989.605,5000000.0,8100000.0,5000000.0,8100000.0,33799.0,33943.0,33952.0,34135.0,,,,,,,,,,,,
66,carp-suite-intraepoch-skipsort,11,256,3,1000000,2048,4600000,8000000,0.045,0,28033.0,28157.0,35017.539,158794.827,4600000.0,8000000.0,4600000.0,8000000.0,36273.0,36431.0,59055.0,59189.0,,,,,,,,,,,,
67,carp-suite-intraepoch-skipsort,11,512,1,1000000,2048,171800,12000000,0.527,0,53792.0,53985.0,13594.931,67580.091,,,,,,,,,,,,,,,,,,,,
68,carp-suite-intraepoch-skipsort,11,128,6,1000000,512,4800000,7400000,0.044,0,36029.0,36142.0,221.047,222374.484,4800000.0,7400000.0,4800000.0,7400000.0,36825.0,37015.0,36356.0,36476.0,4800000.0,7400000.0,4800000.0,7400000.0,4800000.0,7400000.0,37000.0,37106.0,36852.0,36992.0,38210.0,38423.0
69,carp-suite-intraepoch-skipsort,11,256,3,750000,1024,6200000,10300000,0.066,0,32992.0,33123.0,35286.079,145494.125,6200000.0,10300000.0,6200000.0,10300000.0,39024.0,39199.0,35724.0,37885.0,,,,,,,,,,,,
70,carp-suite-intraepoch-skipsort,11,1024,1,1000000,1024,200000,4000000,0.299,0,39835.0,50431.0,16712.583,67143.337,,,,,,,,,,,,,,,,,,,,
71,carp-suite-intraepoch-skipsort,11,512,1,750000,512,1600000,9600000,0.05,0,54552.0,54714.0,46852.210999999996,101566.294,,,,,,,,,,,,,,,,,,,,
72,carp-suite-intraepoch-skipsort,11,128,6,750000,512,5900000,10600000,0.056,0,40660.0,40759.0,1737.527,243616.992,3800000.0,12500000.0,4900000.0,14100000.0,39477.0,39630.0,42317.0,42419.0,4200000.0,12000000.0,6100000.0,12500000.0,5900000.0,8800000.0,41864.0,41970.0,39338.0,39447.0,37498.0,37652.0
73,carp-suite-intraepoch-skipsort,11,512,1,750000,1024,221400,11200000,0.554,0,54271.0,57771.0,14989.815,72760.769,,,,,,,,,,,,,,,,,,,,
74,carp-suite-intraepoch-skipsort,11,512,1,1000000,1024,206100,11500000,0.571,0,53783.0,54471.0,32021.941,86492.946,,,,,,,,,,,,,,,,,,,,
75,carp-suite-intraepoch-skipsort,11,1024,1,750000,2048,246700,4099999,0.226,0,40773.0,55668.0,8762.033000000001,64429.906,,,,,,,,,,,,,,,,,,,,
76,carp-suite-intraepoch-skipsort,11,1024,1,1000000,2048,222500,3800000,0.267,0,41649.0,49538.0,18604.658,68142.588,,,,,,,,,,,,,,,,,,,,
77,carp-suite-intraepoch-skipsort,11,256,3,750000,512,5200000,12400000,0.095,0,33528.0,33893.0,39358.933,155262.427,5900000.0,12500000.0,3900000.0,13000000.0,35602.0,35917.0,45971.0,46094.0,,,,,,,,,,,,
78,carp-suite-intraepoch-skipsort,11,128,6,750000,2048,6200000,8300000,0.041,0,37285.0,37425.0,571.655,232468.642,6200000.0,8300000.0,6200000.0,8300000.0,37775.0,37963.0,39506.0,39612.0,6200000.0,8300000.0,6200000.0,8300000.0,6200000.0,8300000.0,37350.0,37471.0,37168.0,37323.0,41952.0,42103.0
79,carp-suite-intraepoch-skipsort,11,512,1,1000000,512,316400,9800000,0.317,0,44565.0,51257.0,16097.623,67355.07800000001,,,,,,,,,,,,,,,,,,,,
80,carp-suite-interepoch,11,1024,1,3,2048,185400,4000000,0.325,0,42186.0,51784.0,28897.344,80681.527,,,,,,,,,,,,,,,,,,,,
81,carp-suite-interepoch,11,512,1,3,2048,179300,11800000,0.577,0,59027.0,63464.0,23134.958000000002,86599.333,,,,,,,,,,,,,,,,,,,,
82,carp-suite-interepoch,15,512,1,1,512,216400,11100000,0.515,0,45937.0,46158.0,18179.922000000002,64338.263999999996,,,,,,,,,,,,,,,,,,,,
83,carp-suite-interepoch,13,256,3,1,512,6200000,9200000,0.059,0,30834.0,31038.0,31859.065000000002,130844.618,6200000.0,8600000.0,6200000.0,10000000.0,32650.0,32965.0,34732.0,34983.0,,,,,,,,,,,,
84,carp-suite-interepoch,15,256,3,1,512,6200000,11700000,0.061,0,32454.0,32644.0,25227.456,119878.781,6200000.0,11100000.0,4099999.0,7900000.0,31879.0,32064.999999999996,29668.0,29943.0,,,,,,,,,,,,
85,carp-suite-interepoch,11,128,6,1,2048,6300000,8500000,0.04,0,37481.0,37590.0,3520.651,231574.43699999998,4800000.0,7600000.0,5400000.0,7800000.0,36886.0,37008.0,37136.0,37320.0,6200000.0,8400000.0,5900000.0,8199999.0,4800000.0,7700000.0,38041.0,38190.0,38472.0,38623.0,38074.0,39322.0
86,carp-suite-interepoch,13,512,1,1,512,237200,10300000,0.477,0,45944.0,49515.0,5029.003000000001,54544.398,,,,,,,,,,,,,,,,,,,,
87,carp-suite-interepoch,13,1024,1,1,512,236900,4300000,0.257,0,39002.0,60212.0,15182.726999999999,75395.151,,,,,,,,,,,,,,,,,,,,
88,carp-suite-interepoch,11,512,1,1,2048,345000,8300000,0.29,0,49710.0,60245.0,19274.587,79519.676,,,,,,,,,,,,,,,,,,,,
89,carp-suite-interepoch,12,128,6,1,512,6200000,8400000,0.041,0,37531.0,37627.0,278.21299999999997,228516.878,5900000.0,7700000.0,4200000.0,7200000.0,37345.0,37497.0,39049.0,39224.0,6100000.0,7700000.0,6300000.0,7900000.0,6200000.0,8300000.0,37132.0,37245.0,37659.0,37801.0,38674.0,38844.0
90,carp-suite-interepoch,11,1024,1,1,2048,281600,4099999,0.211,0,44538.0,65238.0,10688.558,75926.213,,,,,,,,,,,,,,,,,,,,
91,carp-suite-interepoch,15,128,6,1,512,4600000,7300000,0.077,0,37244.0,37349.0,361.35,228731.902,5500000.0,7400000.0,6000000.0,7800000.0,38632.0,38727.0,38126.0,38229.0,5300000.0,7500000.0,6100000.0,8000000.0,4400000.0,7900000.0,38831.0,38941.0,37353.0,37495.0,37407.0,37629.0
92,carp-suite-interepoch,14,256,3,1,512,6100000,8800000,0.054,0,28953.0,29075.0,21674.101,125863.23899999999,6200000.0,11100000.0,6200000.0,9300000.0,39694.0,39859.0,35100.0,35256.0,,,,,,,,,,,,
93,carp-suite-interepoch,11,256,3,3,2048,6200000,9400000,0.056,0,30543.0,30708.0,31138.371,131346.204,6200000.0,9400000.0,6200000.0,9400000.0,33763.0,33897.0,35309.0,35603.0,,,,,,,,,,,,
