,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,max_fin_dura,total_io_time,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax
34,carp-suite-interepoch-nowrite,32,128,6,1,512,6200000,8100000,6000000.0,7700000.0,4700000.0,7200000.0,0.033,0,36266.0,36345.0,36015.0,36135.0,35168.0,35329.0,0.656,216060.669,4900000.0,7500000.0,5600000.0,7500000.0,5900000.0,7600000.0,36434.0,36575.0,36511.0,36684.0,34880.0,34992.0
35,carp-suite-interepoch-nowrite,31,128,6,1,512,4600000,7300000,6200000.0,8100000.0,6200000.0,8500000.0,0.057,0,36530.0,36607.0,35673.0,35817.0,36835.0,37070.0,0.621,216996.171,4500000.0,7500000.0,5100000.0,7500000.0,5100000.0,8000000.0,34588.0,34756.0,37288.0,37420.0,35121.0,35326.0
36,carp-suite-interepoch-nowrite,33,128,6,1,512,6000000,7800000,5800000.0,7600000.0,6200000.0,8000000.0,0.035,0,36110.0,36168.0,37354.0,37443.0,36303.0,36444.0,0.6,215344.875,5800000.0,7600000.0,6200000.0,8300000.0,5700000.0,7700000.0,34912.0,35046.0,34554.0,34722.0,35273.0,35521.0
37,carp-suite-interepoch-nowrite,32,512,1,1,512,193100,12500000,,,,,0.599,0,35267.0,35445.0,,,,,1.7429999999999999,35446.722,,,,,,,,,,,,
38,carp-suite-interepoch-nowrite,34,512,1,1,512,212700,11200000,,,,,0.541,0,33321.0,33558.0,,,,,2.0010000000000003,33560.048,,,,,,,,,,,,
39,carp-suite-interepoch-nowrite,33,256,3,1,512,5600000,7800000,6200000.0,9700000.0,6200000.0,9900000.0,0.06,0,26036.0,26147.0,31399.0,31545.0,30374.0,30519.0,1.5870000000000002,88213.485,,,,,,,,,,,,
40,carp-suite-interepoch-nowrite,32,256,3,1,512,5800000,8500000,6100000.0,11300000.0,5200000.0,7800000.0,0.038,0,28912.0,29086.0,34736.0,34904.0,27891.0,28096.0,1.694,92087.27799999999,,,,,,,,,,,,
41,carp-suite-interepoch-nowrite,33,512,1,1,512,178400,13500000,,,,,0.64,0,35643.0,35833.0,,,,,2.113,35834.659,,,,,,,,,,,,
42,carp-suite-interepoch-nowrite,31,256,3,1,512,6000000,10000000,6200000.0,10100000.0,6000000.0,8500000.0,0.053,0,26574.0,26698.0,30507.0,30692.0,29388.0,29617.0,0.85,87007.504,,,,,,,,,,,,
43,carp-suite-interepoch-nowrite,33,1024,1,1,512,182500,4400000,,,,,0.265,0,18352.0,18565.0,,,,,3.7230000000000003,18569.192000000003,,,,,,,,,,,,
44,carp-suite-interepoch-nowrite,31,1024,1,1,512,163300,4400000,,,,,0.296,0,16904.0,17094.0,,,,,4.101999999999999,17097.603,,,,,,,,,,,,
45,carp-suite-interepoch-nowrite,31,512,1,1,512,233300,10000000,,,,,0.459,0,31373.0,31571.0,,,,,2.111,31572.765,,,,,,,,,,,,
46,carp-suite-interepoch-nowrite,34,128,6,1,512,6200000,9000000,5900000.0,7600000.0,6000000.0,7700000.0,0.039,0,37296.0,37467.0,36454.0,36663.0,36804.0,36998.0,1.08,218713.545,6300000.0,7900000.0,4400000.0,7100000.0,4700000.0,7400000.0,34787.0,35006.0,36436.0,36648.0,35708.0,35931.0
47,carp-suite-interepoch-nowrite,34,1024,1,1,512,89300,4800000,,,,,0.398,0,17973.0,18223.0,,,,,3.846,18226.722999999998,,,,,,,,,,,,
48,carp-suite-intraepoch-nowrite,34,512,1,750000,512,2500000,12800000,,,,,0.065,0,34707.0,34881.0,,,,,1.954,34883.272,,,,,,,,,,,,
49,carp-suite-intraepoch-nowrite,32,512,1,750000,512,1900000,11700000,,,,,0.063,0,33542.0,33721.0,,,,,3.477,33724.009000000005,,,,,,,,,,,,
50,carp-suite-intraepoch-nowrite,31,256,3,750000,512,4500000,13900000,6000000.0,12400000.0,5900000.0,11900000.0,0.072,0,29202.0,29343.0,32728.0,32898.0,32517.000000000004,32703.000000000004,1.804,94946.11600000001,,,,,,,,,,,,
51,carp-suite-intraepoch-nowrite,31,128,6,750000,512,3600000,12300000,6200000.0,12000000.0,6000000.0,11100000.0,0.079,0,36788.0,36876.0,37588.0,37674.0,39256.0,39450.0,0.752,230999.027,5900000.0,11200000.0,6000000.0,11400000.0,6000000.0,10300000.0,38711.0,38957.0,39399.0,39572.0,38312.0,38469.0
52,carp-suite-intraepoch-nowrite,33,256,3,750000,512,5900000,13500000,6000000.0,12200000.0,4200000.0,12600000.0,0.073,0,31864.0,32020.000000000004,33022.0,33177.0,34557.0,34687.0,1.254,99885.29699999999,,,,,,,,,,,,
53,carp-suite-intraepoch-nowrite,32,256,3,750000,512,6300000,13200000,4099999.0,11800000.0,5900000.0,13000000.0,0.078,0,28368.0,28520.0,30598.0,30787.0,30697.0,30869.0,1.3010000000000002,90176.985,,,,,,,,,,,,
54,carp-suite-intraepoch-nowrite,31,1024,1,750000,512,241400,10200000,,,,,0.098,0,21361.0,21568.0,,,,,3.702,21572.049,,,,,,,,,,,,
55,carp-suite-intraepoch-nowrite,34,1024,1,750000,512,241800,7800000,,,,,0.066,0,21448.0,21638.0,,,,,3.885,21642.154000000002,,,,,,,,,,,,
56,carp-suite-intraepoch-nowrite,31,512,1,750000,512,1600000,9800000,,,,,0.057,0,28940.0,29153.0,,,,,1.6949999999999998,29154.394,,,,,,,,,,,,
57,carp-suite-intraepoch-nowrite,33,128,6,750000,512,6200000,10900000,4900000.0,8800000.0,5200000.0,13800000.0,0.082,0,37640.0,37741.0,37120.0,37231.0,40327.0,40488.0,0.8630000000000001,229749.142,4200000.0,14100000.0,6000000.0,12200000.0,4900000.0,12100000.0,38229.0,38376.0,39662.0,39766.0,36048.0,36147.0
58,carp-suite-intraepoch-nowrite,34,128,6,750000,512,5100000,11500000,4900000.0,12200000.0,4099999.0,12100000.0,0.085,0,37160.0,37260.0,39487.0,39603.0,38475.0,38605.0,0.816,231447.625,6000000.0,10200000.0,4400000.0,9800000.0,4200000.0,11400000.0,39058.0,39262.0,37176.0,37340.0,39222.0,39377.0
59,carp-suite-intraepoch-nowrite,33,512,1,750000,512,1800000,11900000,,,,,0.064,0,30807.0,31023.0,,,,,1.601,31024.775,,,,,,,,,,,,
60,carp-suite-intraepoch-nowrite,34,256,3,750000,512,5900000,13600000,5900000.0,13300000.0,5900000.0,12800000.0,0.08,0,30246.0,30349.0,33177.0,33312.0,34292.0,34465.0,0.9940000000000001,98126.61799999999,,,,,,,,,,,,
61,carp-suite-intraepoch-nowrite,32,1024,1,750000,512,216300,7700000,,,,,0.075,0,23665.0,23846.0,,,,,3.9699999999999998,23850.063,,,,,,,,,,,,
62,carp-suite-intraepoch-nowrite,32,128,6,750000,512,4000000,13500000,3900000.0,13100000.0,6100000.0,8700000.0,0.109,0,37151.0,37231.0,38789.0,38941.0,36279.0,36385.0,0.727,226716.328,5900000.0,9900000.0,4000000.0,10200000.0,4400000.0,13700000.0,36504.0,36571.0,35308.0,35432.0,41996.0,42155.0
63,carp-suite-intraepoch-nowrite,33,1024,1,750000,512,231100,5500000,,,,,0.065,0,23221.0,23431.0,,,,,3.561,23434.394999999997,,,,,,,,,,,,
