,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
157,carp-suite-intraepoch-nowrite,1024,1,750000,512,17,19,0.096
165,carp-suite-intraepoch-nowrite,1024,1,750000,512,18,23,0.094
186,carp-suite-intraepoch-nowrite,1024,1,750000,512,19,19,0.101
180,carp-suite-intraepoch-nowrite,1024,1,750000,512,20,21,0.124
138,carp-suite-intraepoch-nowrite,1024,1,750000,1024,11,80,0.216
174,carp-suite-intraepoch-nowrite,1024,1,750000,2048,11,81,0.327
128,carp-suite-intraepoch-nowrite,1024,1,1000000,512,11,71,0.259
158,carp-suite-intraepoch-nowrite,1024,1,1000000,1024,11,79,0.304
177,carp-suite-intraepoch-nowrite,1024,1,1000000,2048,11,72,0.327
323,carp-suite-intraepoch-skipsort,32,12,500000,512,41,979,0.033
376,carp-suite-intraepoch-skipsort,32,12,500000,512,42,951,0.042
192,carp-suite-intraepoch-skipsort,32,12,500000,512,43,975,0.041
375,carp-suite-intraepoch-skipsort,32,12,500000,512,44,969,0.054
370,carp-suite-intraepoch-skipsort,32,12,500000,512,45,958,0.034
205,carp-suite-intraepoch-skipsort,32,12,500000,512,46,973,0.034
201,carp-suite-intraepoch-skipsort,32,12,500000,512,47,951,0.037
288,carp-suite-intraepoch-skipsort,32,12,500000,512,48,986,0.038
213,carp-suite-intraepoch-skipsort,32,12,500000,512,49,941,0.041
282,carp-suite-intraepoch-skipsort,32,12,500000,512,50,967,0.051
380,carp-suite-intraepoch-skipsort,64,12,500000,512,41,635,0.05
277,carp-suite-intraepoch-skipsort,64,12,500000,512,42,640,0.076
254,carp-suite-intraepoch-skipsort,64,12,500000,512,43,633,0.048
260,carp-suite-intraepoch-skipsort,64,12,500000,512,44,636,0.037
207,carp-suite-intraepoch-skipsort,64,12,500000,512,45,636,0.046
237,carp-suite-intraepoch-skipsort,64,12,500000,512,46,646,0.067
317,carp-suite-intraepoch-skipsort,64,12,500000,512,47,649,0.052
385,carp-suite-intraepoch-skipsort,64,12,500000,512,48,642,0.051
333,carp-suite-intraepoch-skipsort,64,12,500000,512,49,632,0.049
250,carp-suite-intraepoch-skipsort,64,12,500000,512,50,640,0.07
214,carp-suite-intraepoch-skipsort,128,6,500000,512,41,236,0.043
202,carp-suite-intraepoch-skipsort,128,6,500000,512,42,233,0.064
314,carp-suite-intraepoch-skipsort,128,6,500000,512,43,261,0.048
328,carp-suite-intraepoch-skipsort,128,6,500000,512,44,238,0.05
