,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
41,carp-suite-intraepoch-skipsort,512,1,1000000,256,43,48,0.066
112,carp-suite-intraepoch-skipsort,512,1,1000000,256,44,67,0.074
28,carp-suite-intraepoch-skipsort,512,1,1000000,256,45,56,0.097
162,carp-suite-intraepoch-skipsort,512,1,1000000,512,11,67,0.317
72,carp-suite-intraepoch-skipsort,512,1,1000000,512,41,74,0.066
9,carp-suite-intraepoch-skipsort,512,1,1000000,512,42,49,0.061
51,carp-suite-intraepoch-skipsort,512,1,1000000,512,43,72,0.062
63,carp-suite-intraepoch-skipsort,512,1,1000000,512,44,60,0.095
74,carp-suite-intraepoch-skipsort,512,1,1000000,512,45,71,0.074
127,carp-suite-intraepoch-skipsort,512,1,1000000,1024,11,86,0.571
31,carp-suite-intraepoch-skipsort,512,1,1000000,1024,41,65,0.056
114,carp-suite-intraepoch-skipsort,512,1,1000000,1024,42,68,0.039
2,carp-suite-intraepoch-skipsort,512,1,1000000,1024,43,67,0.067
58,carp-suite-intraepoch-skipsort,512,1,1000000,1024,44,61,0.073
89,carp-suite-intraepoch-skipsort,512,1,1000000,1024,45,70,0.063
85,carp-suite-intraepoch-skipsort,512,1,1000000,2048,11,67,0.527
81,carp-suite-intraepoch-skipsort,512,1,1000000,2048,41,67,0.053
77,carp-suite-intraepoch-skipsort,512,1,1000000,2048,42,64,0.047
156,carp-suite-intraepoch-skipsort,512,1,1000000,2048,43,71,0.061
170,carp-suite-intraepoch-skipsort,512,1,1000000,2048,44,56,0.066
154,carp-suite-intraepoch-skipsort,512,1,1000000,2048,45,68,0.052
48,carp-suite-intraepoch-skipsort,512,1,3000000,64,41,66,0.156
16,carp-suite-intraepoch-skipsort,512,1,3000000,64,42,67,0.154
145,carp-suite-intraepoch-skipsort,512,1,3000000,64,43,53,0.144
36,carp-suite-intraepoch-skipsort,512,1,3000000,64,44,74,0.123
150,carp-suite-intraepoch-skipsort,512,1,3000000,64,45,66,0.164
30,carp-suite-intraepoch-skipsort,512,1,3000000,128,41,84,0.149
66,carp-suite-intraepoch-skipsort,512,1,3000000,128,42,75,0.106
39,carp-suite-intraepoch-skipsort,512,1,3000000,128,43,75,0.12
69,carp-suite-intraepoch-skipsort,512,1,3000000,128,44,77,0.136
92,carp-suite-intraepoch-skipsort,512,1,3000000,128,45,75,0.147
155,carp-suite-intraepoch-skipsort,512,1,3000000,256,41,76,0.123
151,carp-suite-intraepoch-skipsort,512,1,3000000,256,42,69,0.205
173,carp-suite-intraepoch-skipsort,512,1,3000000,256,43,75,0.098
7,carp-suite-intraepoch-skipsort,512,1,3000000,256,44,66,0.105
124,carp-suite-intraepoch-skipsort,512,1,3000000,256,45,73,0.169
143,carp-suite-intraepoch-skipsort,512,1,3000000,512,41,75,0.173
32,carp-suite-intraepoch-skipsort,512,1,3000000,512,42,58,0.096
61,carp-suite-intraepoch-skipsort,512,1,3000000,512,43,76,0.18
164,carp-suite-intraepoch-skipsort,512,1,3000000,512,44,70,0.241
42,carp-suite-intraepoch-skipsort,512,1,3000000,512,45,75,0.113
107,carp-suite-intraepoch-skipsort,512,1,3000000,1024,41,68,0.179
44,carp-suite-intraepoch-skipsort,512,1,3000000,1024,42,67,0.218
144,carp-suite-intraepoch-skipsort,512,1,3000000,1024,43,67,0.198
128,carp-suite-intraepoch-skipsort,512,1,3000000,1024,44,49,0.23
67,carp-suite-intraepoch-skipsort,512,1,3000000,1024,45,64,0.131
56,carp-suite-intraepoch-skipsort,512,1,3000000,2048,41,81,0.204
21,carp-suite-intraepoch-skipsort,512,1,3000000,2048,42,56,0.157
95,carp-suite-intraepoch-skipsort,512,1,3000000,2048,43,73,0.186
49,carp-suite-intraepoch-skipsort,512,1,3000000,2048,44,64,0.125
136,carp-suite-intraepoch-skipsort,512,1,3000000,2048,45,70,0.251
40,carp-suite-intraepoch-skipsort,1024,1,750000,512,11,89,0.098
37,carp-suite-intraepoch-skipsort,1024,1,750000,1024,11,90,0.3
131,carp-suite-intraepoch-skipsort,1024,1,750000,2048,11,64,0.226
12,carp-suite-intraepoch-skipsort,1024,1,1000000,512,11,55,0.228
94,carp-suite-intraepoch-skipsort,1024,1,1000000,1024,11,67,0.299
139,carp-suite-intraepoch-skipsort,1024,1,1000000,2048,11,68,0.267
