,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax
57,carp-suite-intraepoch-skipsort,42,512,1,250000,256,157200,8700000,0.057,0,54765.0,54955.0,20823.86,75778.895,,,,,,,,,,,,,,,,,,,,
58,carp-suite-intraepoch-skipsort,44,512,1,1000000,1024,3700000,8600000,0.073,0,38318.0,49441.0,11610.151,61051.437,,,,,,,,,,,,,,,,,,,,
59,carp-suite-intraepoch-skipsort,41,512,1,1000000,64,28600,10200000,0.129,0,34230.0,34406.0,31361.653000000002,65767.442,,,,,,,,,,,,,,,,,,,,
60,carp-suite-intraepoch-skipsort,43,512,1,750000,2048,4300000,8500000,0.045,0,37725.0,43589.0,23862.570000000003,67451.212,,,,,,,,,,,,,,,,,,,,
61,carp-suite-intraepoch-skipsort,43,512,1,3000000,512,2600000,10800000,0.18,0,58159.0,58328.0,18521.329,76849.547,,,,,,,,,,,,,,,,,,,,
62,carp-suite-intraepoch-skipsort,43,512,1,500000,1024,3000000,11400000,0.049,0,38021.0,41169.0,24552.85,65721.681,,,,,,,,,,,,,,,,,,,,
63,carp-suite-intraepoch-skipsort,44,512,1,1000000,512,1500000,7900000,0.095,0,46481.0,46651.0,13751.529,60402.977999999996,,,,,,,,,,,,,,,,,,,,
64,carp-suite-intraepoch-skipsort,44,512,1,250000,128,53200,9300000,0.087,0,58650.0,58852.0,8654.807,67507.099,,,,,,,,,,,,,,,,,,,,
65,carp-suite-intraepoch-skipsort,44,512,1,750000,64,4900,11800000,0.138,0,34286.0,40718.0,24982.744,65700.908,,,,,,,,,,,,,,,,,,,,
66,carp-suite-intraepoch-skipsort,42,512,1,3000000,128,89500,9600000,0.106,0,61078.0,61274.0,14414.061,75688.129,,,,,,,,,,,,,,,,,,,,
67,carp-suite-intraepoch-skipsort,45,512,1,3000000,1024,3900000,8400000,0.131,0,40716.0,57628.0,7138.993,64766.963,,,,,,,,,,,,,,,,,,,,
68,carp-suite-intraepoch-skipsort,44,512,1,250000,64,28800,11700000,0.138,0,57737.0,57922.0,10358.942000000001,68281.282,,,,,,,,,,,,,,,,,,,,
69,carp-suite-intraepoch-skipsort,44,512,1,3000000,128,265500,11600000,0.136,0,41937.0,61902.0,15378.181,77280.48599999999,,,,,,,,,,,,,,,,,,,,
70,carp-suite-intraepoch-skipsort,11,128,6,750000,1024,4900000,7400000,0.042,0,36470.0,36571.0,250.40800000000002,223886.96600000001,4900000.0,7400000.0,4900000.0,7400000.0,4900000.0,7400000.0,4900000.0,7400000.0,4900000.0,7400000.0,36858.0,37019.0,36778.0,36913.0,37128.0,37273.0,36610.0,36818.0,38874.0,39043.0
71,carp-suite-intraepoch-skipsort,44,512,1,250000,256,283800,9600000,0.07,0,53722.0,53906.0,21794.306,75700.2,,,,,,,,,,,,,,,,,,,,
72,carp-suite-intraepoch-skipsort,41,512,1,1000000,512,2000000,10700000,0.066,0,61630.0,61784.0,12492.389,74276.88,,,,,,,,,,,,,,,,,,,,
73,carp-suite-intraepoch-skipsort,41,512,1,250000,2048,3600000,8700000,0.028,0,47432.0,47681.0,38145.232,85826.142,,,,,,,,,,,,,,,,,,,,
74,carp-suite-intraepoch-skipsort,45,512,1,1000000,512,2000000,11800000,0.074,0,41483.0,42233.0,29313.849000000002,71546.931,,,,,,,,,,,,,,,,,,,,
75,carp-suite-intraepoch-skipsort,11,256,3,750000,2048,5000000,8100000,0.043,0,28483.0,28634.0,25277.363,121989.605,5000000.0,8100000.0,5000000.0,8100000.0,,,,,,,33799.0,33943.0,33952.0,34135.0,,,,,,
76,carp-suite-intraepoch-skipsort,44,512,1,250000,512,1500000,8199999,0.037,0,57628.0,57844.0,10133.757,67977.82800000001,,,,,,,,,,,,,,,,,,,,
77,carp-suite-intraepoch-skipsort,42,512,1,1000000,2048,5400000,9100000,0.047,0,35704.0,42044.0,22621.129,64665.291999999994,,,,,,,,,,,,,,,,,,,,
78,carp-suite-intraepoch-skipsort,41,512,1,250000,1024,5500000,11200000,0.043,0,57720.0,57857.0,14727.769,72584.825,,,,,,,,,,,,,,,,,,,,
79,carp-suite-intraepoch-skipsort,41,512,1,750000,1024,5200000,10100000,0.036,0,35488.0,42216.0,27276.76,69492.73300000001,,,,,,,,,,,,,,,,,,,,
80,carp-suite-intraepoch-skipsort,43,512,1,250000,64,115900,13400000,0.137,0,54794.0,54960.0,13309.279999999999,68269.207,,,,,,,,,,,,,,,,,,,,
81,carp-suite-intraepoch-skipsort,41,512,1,1000000,2048,5300000,12600000,0.053,0,34045.0,39770.0,27494.279,67264.611,,,,,,,,,,,,,,,,,,,,
82,carp-suite-intraepoch-skipsort,45,512,1,750000,256,156100,10800000,0.069,0,37667.0,42195.0,15456.905,57651.678,,,,,,,,,,,,,,,,,,,,
83,carp-suite-intraepoch-skipsort,45,512,1,500000,128,329200,11800000,0.097,0,37286.0,42565.0,25072.089,67637.162,,,,,,,,,,,,,,,,,,,,
