,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,load_std,wr_dropped,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax,max_fin_dura,total_io_time,epoch9_wr_min,epoch9_wr_max,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch12_wr_min,epoch12_wr_max
104,dfs-reg-suite,2,512,3,6500000,6700000,6500000.0,13100000.0,6500000.0,6600000.0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,1333.912,844810.07,,,163331.0,259303.0,144566.0,287103.0,163531.0,297070.0,,,,,,,,
105,dfs-reg-suite,1,128,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,30317.0,49679.0,31530.0,48476.0,31465.0,46000.0,29881.0,48985.0,31261.0,47062.0,31118.0,50384.0,32313.000000000004,46464.0,29646.0,47684.0,529.9739999999999,556310.024,6500000.0,6600000.0,,,,,30387.0,44804.0,30066.0,47205.0,6500000.0,6600000.0,6500000.0,6600000.0,,
106,network-suite-1hopsim,1,64,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,17718.0,28078.0,16817.0,25985.0,21449.0,33180.0,18865.0,40711.0,19694.0,28049.0,28133.0,34256.0,18539.0,30076.0,19310.0,33885.0,1.785,385959.715,6500000.0,6600000.0,21631.0,39234.0,20014.0,32086.0,20131.0,32613.0,20653.0,27805.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0
107,network-suite-1hopsim,2,32,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,9846.0,12342.0,9882.0,12415.0,9986.0,12338.0,9811.0,12089.0,10148.0,12287.0,9986.0,12101.0,10038.0,12099.0,14468.0,19421.0,2.599,158202.495,6500000.0,6600000.0,,,10275.0,12123.0,9904.0,12134.0,10179.0,12214.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0
108,network-suite-1hopsim,2,16,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,7794.0,10155.0,8680.0,10125.0,9074.0,10068.0,8766.0,10070.0,7833.0,10119.0,8213.0,10101.0,8188.000000000001,10042.0,7913.0,10144.0,1.85,121107.665,6500000.0,6600000.0,,,8759.0,10833.0,7714.0,10097.0,8090.0,10044.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0
109,network-suite-1hopsim,1,32,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,10085.0,12346.0,10159.0,12465.0,10122.0,12300.0,9945.0,12220.0,10057.0,12708.0,10047.0,12296.0,10281.0,12368.0,10083.0,12257.0,3.636,148790.358,6500000.0,6600000.0,9744.0,12521.0,10432.0,12639.0,10177.0,12428.0,9996.0,12241.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0
110,network-suite-1hopsim,1,16,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,8401.0,10066.0,8135.0,10141.0,9427.0,9896.0,8270.0,10082.0,8073.0,10071.0,7909.0,10144.0,7768.0,10071.0,8787.0,9965.0,3.707,120520.498,6500000.0,6600000.0,,,8355.0,10487.0,8457.0,10036.0,7816.0,10122.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0
111,network-suite-1hopsim,2,128,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,27657.0,37725.0,23076.0,35226.0,24777.0,34830.0,25126.0,37486.0,31751.0,45392.0,22562.0,30365.0,18980.0,38631.0,24110.0,36398.0,2.656,434346.142,6500000.0,6600000.0,18741.0,31074.0,23129.0,33843.0,21360.0,31210.0,21857.0,42163.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0
112,network-suite-1hopsim,2,64,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,23331.0,35077.0,15848.0,32802.0,17882.0,28870.0,18447.0,25943.0,25379.0,37091.0,22173.0,28792.0,16157.0,25507.0,17590.0,34394.0,1.217,357054.1,6500000.0,6600000.0,17435.0,29547.0,18590.0,25750.0,18459.0,28260.0,18516.0,25021.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0
113,network-suite-1hopsim,1,256,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,32341.0,54672.0,33332.0,54079.0,25733.0,57482.0,31065.0,55096.0,26242.0,55479.0,39660.0,64465.0,27649.0,56533.0,26327.0,54491.0,2.576,668331.1340000001,6500000.0,6600000.0,29904.0,44807.0,33258.0,52979.0,37614.0,60493.0,30557.0,57752.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0
