,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
86,carp-suite-intraepoch-nowrite,256,3,750000,512,12,100,0.076
103,carp-suite-intraepoch-nowrite,256,3,750000,512,13,100,0.085
59,carp-suite-intraepoch-nowrite,256,3,750000,512,14,94,0.083
94,carp-suite-intraepoch-nowrite,256,3,750000,512,15,104,0.091
48,carp-suite-intraepoch-nowrite,256,3,750000,512,16,107,0.079
112,carp-suite-intraepoch-nowrite,256,3,750000,512,17,97,0.076
113,carp-suite-intraepoch-nowrite,256,3,750000,512,18,100,0.046
55,carp-suite-intraepoch-nowrite,256,3,750000,512,19,101,0.07
88,carp-suite-intraepoch-nowrite,256,3,750000,512,20,103,0.077
80,carp-suite-intraepoch-nowrite,256,3,750000,1024,11,129,0.06
72,carp-suite-intraepoch-nowrite,256,3,750000,2048,11,110,0.057
68,carp-suite-intraepoch-nowrite,256,3,1000000,512,11,130,0.053
69,carp-suite-intraepoch-nowrite,256,3,1000000,1024,11,155,0.046
77,carp-suite-intraepoch-nowrite,256,3,1000000,2048,11,112,0.05
91,carp-suite-intraepoch-nowrite,512,1,750000,512,11,32,0.059
58,carp-suite-intraepoch-nowrite,512,1,750000,512,12,33,0.062
104,carp-suite-intraepoch-nowrite,512,1,750000,512,13,34,0.065
47,carp-suite-intraepoch-nowrite,512,1,750000,512,14,28,0.065
51,carp-suite-intraepoch-nowrite,512,1,750000,512,15,31,0.066
74,carp-suite-intraepoch-nowrite,512,1,750000,512,16,33,0.067
96,carp-suite-intraepoch-nowrite,512,1,750000,512,17,32,0.061
89,carp-suite-intraepoch-nowrite,512,1,750000,512,18,31,0.07
46,carp-suite-intraepoch-nowrite,512,1,750000,512,19,32,0.054
49,carp-suite-intraepoch-nowrite,512,1,750000,512,20,29,0.053
95,carp-suite-intraepoch-nowrite,512,1,750000,1024,11,90,0.295
67,carp-suite-intraepoch-nowrite,512,1,750000,2048,11,91,0.558
114,carp-suite-intraepoch-nowrite,512,1,1000000,512,11,94,0.463
97,carp-suite-intraepoch-nowrite,512,1,1000000,1024,11,92,0.577
78,carp-suite-intraepoch-nowrite,512,1,1000000,2048,11,89,0.467
65,carp-suite-intraepoch-nowrite,1024,1,750000,512,11,22,0.082
75,carp-suite-intraepoch-nowrite,1024,1,750000,512,12,21,0.067
62,carp-suite-intraepoch-nowrite,1024,1,750000,512,13,19,0.143
101,carp-suite-intraepoch-nowrite,1024,1,750000,512,14,19,0.062
98,carp-suite-intraepoch-nowrite,1024,1,750000,512,15,27,0.099
61,carp-suite-intraepoch-nowrite,1024,1,750000,512,16,22,0.066
82,carp-suite-intraepoch-nowrite,1024,1,750000,512,17,19,0.096
90,carp-suite-intraepoch-nowrite,1024,1,750000,512,18,23,0.094
111,carp-suite-intraepoch-nowrite,1024,1,750000,512,19,19,0.101
105,carp-suite-intraepoch-nowrite,1024,1,750000,512,20,21,0.124
63,carp-suite-intraepoch-nowrite,1024,1,750000,1024,11,80,0.216
99,carp-suite-intraepoch-nowrite,1024,1,750000,2048,11,81,0.327
53,carp-suite-intraepoch-nowrite,1024,1,1000000,512,11,71,0.259
83,carp-suite-intraepoch-nowrite,1024,1,1000000,1024,11,79,0.304
102,carp-suite-intraepoch-nowrite,1024,1,1000000,2048,11,72,0.327
132,carp-suite-intraepoch-skipsort,128,6,750000,512,11,243,0.056
124,carp-suite-intraepoch-skipsort,128,6,750000,1024,11,223,0.042
138,carp-suite-intraepoch-skipsort,128,6,750000,2048,11,232,0.041
128,carp-suite-intraepoch-skipsort,128,6,1000000,512,11,222,0.044
116,carp-suite-intraepoch-skipsort,128,6,1000000,1024,11,225,0.043
118,carp-suite-intraepoch-skipsort,128,6,1000000,2048,11,240,0.045
137,carp-suite-intraepoch-skipsort,256,3,750000,512,11,155,0.095
129,carp-suite-intraepoch-skipsort,256,3,750000,1024,11,145,0.066
125,carp-suite-intraepoch-skipsort,256,3,750000,2048,11,121,0.043
122,carp-suite-intraepoch-skipsort,256,3,1000000,512,11,149,0.066
123,carp-suite-intraepoch-skipsort,256,3,1000000,1024,11,145,0.074
126,carp-suite-intraepoch-skipsort,256,3,1000000,2048,11,158,0.045
131,carp-suite-intraepoch-skipsort,512,1,750000,512,11,101,0.05
133,carp-suite-intraepoch-skipsort,512,1,750000,1024,11,72,0.554
121,carp-suite-intraepoch-skipsort,512,1,750000,2048,11,108,0.343
