,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax
46,dfs-ioonly,11,128,6,6500000,6500000,0,0,5411.0,14349.0,17688.611999999997,186864.052,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6143.0,12118.0,5628.0,28454.0,5300.0,40495.0,5188.0,38523.0,5560.0,35236.0,,,,,,,,,,,,,,,,,,,,,,
47,dfs-ioonly,17,512,1,6500000,6500000,0,0,5010.0,42592.0,21115.747,63707.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,dfs-ioonly,19,512,1,6500000,6500000,0,0,5794.0,41563.0,28418.174,69981.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,dfs-ioonly,11,1024,1,3300000,3300000,0,0,3066.0,54343.0,15959.326000000001,70302.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,network-suite,18,1024,1,3300000,3300000,0,0,12659.0,16991.0,138.19500000000002,17129.608999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,network-suite,13,128,6,6500000,6600000,0,0,32975.0,36733.0,113.62899999999999,213501.065,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,33721.0,35613.0,33031.0,35229.0,33384.0,35380.0,33335.0,34163.0,31118.0,36269.0,,,,,,,,,,,,,,,,,,,,,,
52,network-suite,20,64,12,6500000,6600000,0,0,,,49.152,616692.207,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,50813.0,51534.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,48637.0,50342.0,49383.0,50222.0,50008.0,52775.0,47278.0,50393.0,47188.0,51603.0,49314.0,51996.0
53,network-suite,12,256,3,6500000,6600000,0,0,24227.0,25909.0,113.69600000000001,79169.44200000001,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,23669.0,25683.0,24433.0,27464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,network-suite,15,128,6,6500000,6600000,0,0,32737.000000000004,35145.0,94.654,212826.30800000002,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,32737.000000000004,35371.0,32299.0,34819.0,32943.0,35182.0,32961.0,35844.0,32939.0,36372.0,,,,,,,,,,,,,,,,,,,,,,
55,network-suite,12,1024,1,3300000,3300000,0,0,12567.0,15609.0,139.02200000000002,15747.533000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,network-suite,14,256,3,6500000,6600000,0,0,24162.0,26723.0,74.143,79005.263,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,24115.0,26611.0,23928.0,25598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,network-suite,19,256,3,6500000,6600000,0,0,23555.0,25802.0,83.714,77377.675,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,23391.0,25908.0,23967.0,25584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,network-suite,13,256,3,6500000,6600000,0,0,24547.0,26568.0,172.86499999999998,82224.63399999999,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,24153.0,26364.0,23604.0,29120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,network-suite,14,128,6,6500000,6600000,0,0,32537.0,34968.0,100.194,212822.35499999998,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,34003.0,35329.0,33608.0,35500.0,33456.0,35331.0,32668.999999999996,35556.0,32851.0,36039.0,,,,,,,,,,,,,,,,,,,,,,
60,network-suite,11,512,1,6500000,6600000,0,0,24519.0,27129.0,104.152,27233.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
