,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch12_wr_min,epoch12_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax,max_fin_dura,total_io_time
20,dfs-ioonly,1,16,12,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,2029.0,2663.0,2618.0,3897.0,2533.0,3981.0,2554.0,3349.0,2566.0,4347.0,2686.0,3900.0,2554.0,4002.0,2677.0,3561.0,2652.0,3512.0,2775.0,3283.0,2663.0,3147.0,2560.0,3723.0,84.47300000000001,43449.054
21,dfs-ioonly,10,512,6,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,0,0,1721.0,37178.0,2340.0,81748.0,2372.0,104546.0,2385.0,102824.0,2348.0,99623.0,2412.0,101322.0,,,,,,,,,,,,,17822.610999999997,545063.88
22,dfs-ioonly,2,128,12,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,1963.0,6162.0,2516.0,4952.0,2514.0,9240.0,2440.0,9922.0,2444.0,13116.0,2503.0,13167.0,2509.0,11592.0,2485.0,11540.0,2484.0,12001.0,2440.0,11215.0,2531.0,11768.0,2527.0,11699.0,8349.976,134723.711
23,dfs-ioonly,2,64,12,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,1966.0,3377.0,2452.0,4161.0,2499.0,4227.0,2442.0,4183.0,2440.0,4309.0,2537.0,4288.0,2488.0,5061.0,2496.0,6927.0,2493.0,6017.0,2519.0,5980.0,2537.0,6098.0,2560.0,6012.0,8241.548999999999,68882.425
24,dfs-ioonly,1,512,12,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,5392.0,36163.0,2402.0,41539.0,2364.0,51477.0,2375.0,79172.0,2372.0,115241.0,2390.0,104142.0,2396.0,100986.0,2422.0,101491.0,2413.0,101163.0,2408.0,103906.0,2457.0,104071.0,2459.0,103110.0,35356.252,1077818.181
25,dfs-ioonly,11,512,6,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,0,0,1679.0,37918.0,2349.0,42626.0,2333.0,91750.0,2303.0,110372.0,2276.0,114483.0,2360.0,107380.0,,,,,,,,,,,,,18254.061,522781.69800000003
26,dfs-ioonly,1,256,12,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,1977.0,13893.0,2403.0,18863.0,2440.0,25910.0,2471.0,24117.0,2426.0,24127.0,2474.0,24628.0,2458.0,24128.0,2363.0,24213.0,2449.0,23888.0,2414.0,24263.0,2447.0,24095.0,2411.0,24533.0,21701.722,298357.33800000005
27,dfs-ioonly,2,512,3,6500000,6500000,6500000,6500000,6500000,6500000,,,,,,,,,,,,,,,,,,,0,0,1681.0,35782.0,2351.0,38500.0,2357.0,64560.0,,,,,,,,,,,,,,,,,,,81890.444,220732.924
28,dfs-ioonly,1,128,12,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,0,0,2020.0,7164.0,2464.0,5513.0,2410.0,9327.0,2447.0,11081.0,2403.0,11427.0,2493.0,12030.0,2458.0,11982.0,2477.0,11736.0,2491.0,11532.0,2501.0,11557.0,2511.0,11693.0,2515.0,11636.0,8528.62,135207.751
29,dfs-ioonly,10,256,6,6500000,6500000,6500000,6500000,6500000,6500000,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,0,0,1657.0,13845.0,2353.0,17620.0,2407.0,19862.0,2363.0,27330.0,2370.0,27456.0,2463.0,51760.0,,,,,,,,,,,,,41204.201,199076.674
