,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,max_fin_dura,total_io_time
34,carp-suite-intraepoch-skipsort,11,256,3,1000000,2048,4600000,8000000,4600000.0,8000000.0,4600000.0,8000000.0,,,,,,,0.045,0,28033.0,28157.0,36273.0,36431.0,59055.0,59189.0,,,,,,,35017.539,158794.827
35,carp-suite-intraepoch-skipsort,11,512,1,1000000,2048,171800,12000000,,,,,,,,,,,0.527,0,53792.0,53985.0,,,,,,,,,,,13594.931,67580.091
36,carp-suite-intraepoch-skipsort,11,128,6,1000000,512,4800000,7400000,4800000.0,7400000.0,4800000.0,7400000.0,4800000.0,7400000.0,4800000.0,7400000.0,4800000.0,7400000.0,0.044,0,36029.0,36142.0,36825.0,37015.0,36356.0,36476.0,37000.0,37106.0,36852.0,36992.0,38210.0,38423.0,221.047,222374.484
37,carp-suite-intraepoch-skipsort,11,256,3,750000,1024,6200000,10300000,6200000.0,10300000.0,6200000.0,10300000.0,,,,,,,0.066,0,32992.0,33123.0,39024.0,39199.0,35724.0,37885.0,,,,,,,35286.079,145494.125
38,carp-suite-intraepoch-skipsort,11,1024,1,1000000,1024,200000,4000000,,,,,,,,,,,0.299,0,39835.0,50431.0,,,,,,,,,,,16712.583,67143.337
39,carp-suite-intraepoch-skipsort,11,512,1,750000,512,1600000,9600000,,,,,,,,,,,0.05,0,54552.0,54714.0,,,,,,,,,,,46852.210999999996,101566.294
40,carp-suite-intraepoch-skipsort,11,128,6,750000,512,5900000,10600000,3800000.0,12500000.0,4900000.0,14100000.0,4200000.0,12000000.0,6100000.0,12500000.0,5900000.0,8800000.0,0.056,0,40660.0,40759.0,39477.0,39630.0,42317.0,42419.0,41864.0,41970.0,39338.0,39447.0,37498.0,37652.0,1737.527,243616.992
41,carp-suite-intraepoch-skipsort,11,512,1,750000,1024,221400,11200000,,,,,,,,,,,0.554,0,54271.0,57771.0,,,,,,,,,,,14989.815,72760.769
42,carp-suite-intraepoch-skipsort,11,512,1,1000000,1024,206100,11500000,,,,,,,,,,,0.571,0,53783.0,54471.0,,,,,,,,,,,32021.941,86492.946
43,carp-suite-intraepoch-skipsort,11,1024,1,750000,2048,246700,4099999,,,,,,,,,,,0.226,0,40773.0,55668.0,,,,,,,,,,,8762.033000000001,64429.906
44,carp-suite-intraepoch-skipsort,11,1024,1,1000000,2048,222500,3800000,,,,,,,,,,,0.267,0,41649.0,49538.0,,,,,,,,,,,18604.658,68142.588
45,carp-suite-intraepoch-skipsort,11,256,3,750000,512,5200000,12400000,5900000.0,12500000.0,3900000.0,13000000.0,,,,,,,0.095,0,33528.0,33893.0,35602.0,35917.0,45971.0,46094.0,,,,,,,39358.933,155262.427
46,carp-suite-intraepoch-skipsort,11,128,6,750000,2048,6200000,8300000,6200000.0,8300000.0,6200000.0,8300000.0,6200000.0,8300000.0,6200000.0,8300000.0,6200000.0,8300000.0,0.041,0,37285.0,37425.0,37775.0,37963.0,39506.0,39612.0,37350.0,37471.0,37168.0,37323.0,41952.0,42103.0,571.655,232468.642
47,carp-suite-intraepoch-skipsort,11,512,1,1000000,512,316400,9800000,,,,,,,,,,,0.317,0,44565.0,51257.0,,,,,,,,,,,16097.623,67355.07800000001
48,carp-suite-interepoch,11,1024,1,3,2048,185400,4000000,,,,,,,,,,,0.325,0,42186.0,51784.0,,,,,,,,,,,28897.344,80681.527
49,carp-suite-interepoch,11,512,1,3,2048,179300,11800000,,,,,,,,,,,0.577,0,59027.0,63464.0,,,,,,,,,,,23134.958000000002,86599.333
50,carp-suite-interepoch,11,128,6,1,2048,6300000,8500000,4800000.0,7600000.0,5400000.0,7800000.0,6200000.0,8400000.0,5900000.0,8199999.0,4800000.0,7700000.0,0.04,0,37481.0,37590.0,36886.0,37008.0,37136.0,37320.0,38041.0,38190.0,38472.0,38623.0,38074.0,39322.0,3520.651,231574.43699999998
51,carp-suite-interepoch,11,512,1,1,2048,345000,8300000,,,,,,,,,,,0.29,0,49710.0,60245.0,,,,,,,,,,,19274.587,79519.676
52,carp-suite-interepoch,11,1024,1,1,2048,281600,4099999,,,,,,,,,,,0.211,0,44538.0,65238.0,,,,,,,,,,,10688.558,75926.213
53,carp-suite-interepoch,11,256,3,3,2048,6200000,9400000,6200000.0,9400000.0,6200000.0,9400000.0,,,,,,,0.056,0,30543.0,30708.0,33763.0,33897.0,35309.0,35603.0,,,,,,,31138.371,131346.204
