runtype,nranks,pvtcnt,epidx,load_std
epxsub1pp,512,2048,1,0.177945
epxsub1pp,512,2048,2,0.424609
epxsub1pp,512,2048,3,0.260856
epxsub1pp,512,2048,4,0.240981
epxsub1pp,512,2048,5,0.265925
epxsub1pp,512,2048,6,0.153275
epxsub1pp,512,2048,7,0.130467
epxsub1pp,512,2048,8,0.149399
epxsub1pp,512,2048,9,0.130238
ep0pp,512,4096,0,0.007967
ep0pp,512,4096,1,0.178625
ep0pp,512,4096,2,0.531157
ep0pp,512,4096,3,0.780958
ep0pp,512,4096,4,1.631279
ep0pp,512,4096,5,3.025060
ep0pp,512,4096,6,3.997809
ep0pp,512,4096,7,4.899621
ep0pp,512,4096,8,6.023703
ep0pp,512,4096,9,7.114506
ep0pp,512,4096,10,7.659168
ep0pp,512,4096,11,7.803816
epxsub1pp,512,4096,1,0.178625
epxsub1pp,512,4096,2,0.426518
epxsub1pp,512,4096,3,0.262275
epxsub1pp,512,4096,4,0.258436
epxsub1pp,512,4096,5,0.266322
epxsub1pp,512,4096,6,0.153424
epxsub1pp,512,4096,7,0.130702
epxsub1pp,512,4096,8,0.149533
epxsub1pp,512,4096,9,0.130767
epxsub1pp,512,4096,10,0.091892
epxsub1pp,512,4096,11,0.052262
epxpp,512,4096,0,0.007967
epxpp,512,4096,1,0.008479
epxpp,512,4096,2,0.016520
epxpp,512,4096,3,0.023854
epxpp,512,4096,4,0.007742
epxpp,512,4096,5,0.007050
epxpp,512,4096,6,0.007162
epxpp,512,4096,7,0.007028
epxpp,512,4096,8,0.006436
epxpp,512,4096,9,0.011263
epxpp,512,4096,10,0.027266
epxpp,512,4096,11,0.037880
epxpp,512,1024,0,0.007595
epxpp,512,1024,1,0.011742
epxpp,512,1024,2,0.029112
epxpp,512,1024,3,0.036249
epxpp,512,1024,4,0.011852
epxpp,512,1024,5,0.014864
epxpp,512,1024,6,0.018285
epxpp,512,1024,7,0.017950
epxpp,512,1024,8,0.020089
epxpp,512,1024,9,0.037392
epxpp,512,2048,0,0.007868
epxpp,512,2048,1,0.008911
epxpp,512,2048,2,0.021185
epxpp,512,2048,3,0.029657
epxpp,512,2048,4,0.008095
epxpp,512,2048,5,0.008195
epxpp,512,2048,6,0.008911
epxpp,512,2048,7,0.009375
epxpp,512,2048,8,0.008495
epxpp,512,2048,8,0.008495
epxpp,8,2048,9,0.053831
epxpp,8,2048,9,0.053926
epxpp,512,2048,0,0.007301
epxpp,512,2048,1,0.008388
epxpp,512,2048,2,0.020722
epxpp,512,2048,3,0.029460
epxpp,512,2048,4,0.007215
epxpp,512,2048,5,0.007612
epxpp,512,2048,6,0.008385
epxpp,512,2048,7,0.008824
epxpp,512,2048,8,0.008092
epxpp,512,2048,9,0.017115
epxpp,512,2048,10,0.047298
epxpp,512,2048,11,0.066160
epxpp,512,1024,0,0.007391
epxpp,512,1024,1,0.011635
epxpp,512,1024,2,0.028959
epxpp,512,1024,3,0.036118
epxpp,512,1024,4,0.011681
epxpp,512,1024,5,0.014574
epxpp,512,1024,6,0.018099
epxpp,512,1024,7,0.017737
epxpp,512,1024,8,0.019800
epxpp,512,1024,9,0.037335
epxpp,512,1024,10,0.093432
epxpp,512,1024,11,0.118443
