hg_proto,hg_poll,hg_byploc,nranks,rounds,rwarmup,npivots,mean,std,min,max
bmi+tcp,0,0,512,10,5,4096,197623.0,19639.0,168804,239005
bmi+tcp,0,0,512,10,5,8192,361845.0,24104.8,330100,413729
bmi+tcp,0,0,1024,10,5,256,68879.0,3718.8,61134,76112
bmi+tcp,0,0,1024,10,5,512,85733.0,10963.1,68688,110549
bmi+tcp,0,0,1024,10,5,1024,105180.0,9751.2,85102,118749
bmi+tcp,0,0,1024,10,5,2048,157129.0,13383.7,132427,180258
bmi+tcp,0,0,1024,10,5,4096,263448.0,19502.9,239722,300302
bmi+tcp,0,0,1024,10,5,8192,473730.0,26540.2,445911,543775
bmi+tcp,0,0,2048,10,5,256,83414.0,9539.0,66376,104229
bmi+tcp,0,0,2048,10,5,512,146853.0,78469.1,79988,304666
bmi+tcp,0,0,2048,10,5,1024,165521.0,58266.0,119889,332154
bmi+tcp,0,0,2048,10,5,2048,195335.0,18534.3,158898,223852
bmi+tcp,0,0,2048,10,5,4096,327326.0,25958.8,295233,380124
bmi+tcp,0,0,2048,10,5,8192,560803.0,48525.6,515562,685466
