,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,max_fin_dura,total_io_time,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch12_wr_min,epoch12_wr_max,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax
28,carp-suite-intraepoch,2,64,12,750000,2048,5000000,12500000,4300000.0,9800000.0,6100000.0,10200000.0,0.075,0,55471.0,55552.0,54072.0,54196.0,54921.0,55055.0,150.321,657675.948,4200000.0,9400000.0,4200000.0,9100000.0,5700000.0,11100000.0,55508.0,55663.0,54240.0,54358.0,56553.0,56670.0,4300000.0,8800000.0,4900000.0,11100000.0,4700000.0,10100000.0,4700000.0,8199999.0,6100000.0,9400000.0,4700000.0,9700000.0,54966.0,55093.0,54576.0,54791.0,54786.0,54937.0,52468.0,52563.0,54665.0,54765.0,53796.0,53883.0
29,carp-suite-intraepoch,2,32,12,1000000,2048,6200000,8600000,6200000.0,8600000.0,6200000.0,8600000.0,0.063,0,79468.0,79549.0,79370.0,79494.0,79731.0,79807.0,97.01400000000001,960732.776,6200000.0,8600000.0,6200000.0,8600000.0,6200000.0,8600000.0,79040.0,79078.0,81428.0,81471.0,79465.0,79499.0,6200000.0,8600000.0,6200000.0,8600000.0,6200000.0,8600000.0,6200000.0,8600000.0,6200000.0,8600000.0,6200000.0,8600000.0,80230.0,80267.0,78967.0,79010.0,77339.0,77385.0,81078.0,81105.0,80392.0,80470.0,83401.0,83500.0
30,carp-suite-intraepoch,1,256,3,1000000,2048,5100000,8300000,5100000.0,8300000.0,5100000.0,8300000.0,0.047,0,29786.0,29936.0,33614.0,33733.0,30776.0,30916.0,27580.382,122164.48599999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,carp-suite-intraepoch,1,256,3,750000,2048,6000000,10900000,6000000.0,10800000.0,6100000.0,10700000.0,0.066,0,33477.0,33625.0,34837.0,35036.0,42060.0,42249.0,55634.393000000004,166544.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,carp-suite-intraepoch,2,16,12,750000,2048,5000000,8700000,6100000.0,8199999.0,4800000.0,8700000.0,0.107,0,15998.0,16003.0,17868.0,17881.0,18827.0,18842.0,191.993,218333.43,5100000.0,8700000.0,5100000.0,8700000.0,5600000.0,8400000.0,18057.0,18081.0,17916.0,17944.0,17822.0,17834.0,5100000.0,8700000.0,5000000.0,8700000.0,5200000.0,8400000.0,5400000.0,8500000.0,5300000.0,8300000.0,4800000.0,8700000.0,18403.0,18417.0,18390.0,18402.0,18812.0,18825.0,18945.0,18982.0,17953.0,17985.0,18913.0,18948.0
33,carp-suite-intraepoch,1,64,12,750000,2048,6000000,9200000,4700000.0,10100000.0,4800000.0,11200000.0,0.102,0,54862.0,54919.0,53101.0,53242.0,56138.0,56247.0,130.203,646851.6240000001,4800000.0,10300000.0,4099999.0,9000000.0,4700000.0,12100000.0,52737.0,52840.0,53725.0,53850.0,55013.0,55172.0,6100000.0,10300000.0,5000000.0,9700000.0,4500000.0,11100000.0,6300000.0,7700000.0,4900000.0,10300000.0,5100000.0,11500000.0,52097.0,52157.0,52870.0,53013.0,54184.0,54266.0,52482.0,52554.0,53406.0,53475.0,54842.0,54987.0
34,carp-suite-intraepoch,2,64,12,1000000,2048,5900000,7500000,5900000.0,7500000.0,5900000.0,7500000.0,0.036,0,51806.0,51861.0,54520.0,54639.0,55686.0,55770.0,230.056,641866.08,5900000.0,7500000.0,5900000.0,7500000.0,5900000.0,7500000.0,52105.0,52211.0,52398.0,52485.0,51816.0,51902.0,5900000.0,7500000.0,5900000.0,7500000.0,5900000.0,7500000.0,5900000.0,7500000.0,5900000.0,7500000.0,5900000.0,7500000.0,53482.0,53586.0,52483.0,52528.0,53466.0,53573.0,55844.0,55937.0,53385.0,53459.0,53623.0,53687.0
35,carp-suite-intraepoch,2,512,1,1000000,2048,200400,10800000,,,,,0.515,0,46566.0,46750.0,,,,,12885.825,59635.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,carp-suite-intraepoch,1,16,12,1000000,2048,6200000,7600000,6200000.0,7600000.0,6200000.0,7600000.0,0.048,0,13952.0,13958.0,17883.0,17890.0,17093.0,17099.0,99.206,205339.462,6200000.0,7600000.0,6200000.0,7600000.0,6200000.0,7600000.0,17325.0,17344.0,17227.0,17258.0,17605.0,17623.0,6200000.0,7600000.0,6200000.0,7600000.0,6200000.0,7600000.0,6200000.0,7600000.0,6200000.0,7600000.0,6200000.0,7600000.0,17374.0,17394.0,17193.0,17203.0,17329.0,17344.0,17681.0,17695.0,17113.0,17117.0,17279.0,17315.0
37,carp-suite-intraepoch,1,32,12,1000000,2048,6300000,7800000,6300000.0,7800000.0,6300000.0,7800000.0,0.043,0,78088.0,78135.0,79068.0,79150.0,79369.0,79440.0,533.689,956103.891,6300000.0,7800000.0,6300000.0,7800000.0,6300000.0,7800000.0,79449.0,79477.0,79888.0,79912.0,80747.0,80799.0,6300000.0,7800000.0,6300000.0,7800000.0,6300000.0,7800000.0,6300000.0,7800000.0,6300000.0,7800000.0,6300000.0,7800000.0,78275.0,78330.0,78982.0,79008.0,78178.0,78196.0,83158.0,83193.0,78812.0,78828.0,81048.0,81104.0
38,carp-suite-intraepoch,2,16,12,1000000,2048,6300000,7100000,6300000.0,7100000.0,6300000.0,7100000.0,0.032,0,14690.0,14695.0,17403.0,17428.0,17206.0,17232.0,632.206,203674.84,6300000.0,7100000.0,6300000.0,7100000.0,6300000.0,7100000.0,17196.0,17226.0,16938.0,16977.0,16972.0,16994.0,6300000.0,7100000.0,6300000.0,7100000.0,6300000.0,7100000.0,6300000.0,7100000.0,6300000.0,7100000.0,6300000.0,7100000.0,16736.0,16775.0,16906.0,16936.0,17295.0,17316.0,16998.0,17030.0,17262.0,17282.0,17112.0,17153.0
39,carp-suite-intraepoch,2,32,12,750000,2048,6300000,7700000,6200000.0,7800000.0,6200000.0,8300000.0,0.055,0,81235.0,81267.0,81505.0,81534.0,81462.0,81498.0,93.55,965675.271,6100000.0,7900000.0,6200000.0,8000000.0,6200000.0,8100000.0,78855.0,78909.0,79457.0,79523.0,82040.0,82099.0,6200000.0,7800000.0,6000000.0,7900000.0,6200000.0,7800000.0,6300000.0,7900000.0,6200000.0,7700000.0,6300000.0,8000000.0,80360.0,80387.0,80782.0,80821.0,79063.0,79144.0,80341.0,80447.0,78592.0,78670.0,81180.0,81284.0
40,carp-suite-intraepoch,2,128,6,750000,2048,6000000,11500000,6100000.0,10300000.0,6100000.0,10800000.0,0.113,0,36421.0,36502.0,39035.0,39201.0,41264.0,41492.0,308.82599999999996,240329.50199999998,4000000.0,14000000.0,4300000.0,11100000.0,4000000.0,13800000.0,40255.0,40454.0,38622.0,38755.0,43408.0,43616.0,,,,,,,,,,,,,,,,,,,,,,,,
41,carp-suite-intraepoch,1,64,12,1000000,2048,6300000,7700000,6300000.0,7700000.0,6300000.0,7700000.0,0.035,0,53708.0,53762.0,52758.0,52837.0,53591.0,53688.0,171.906,643971.877,6300000.0,7700000.0,6300000.0,7700000.0,6300000.0,7700000.0,52660.0,52742.0,53364.0,53437.0,54316.0,54382.0,6300000.0,7700000.0,6300000.0,7700000.0,6300000.0,7700000.0,6300000.0,7700000.0,6300000.0,7700000.0,6300000.0,7700000.0,54663.0,54816.0,53353.0,53440.0,54015.0,54070.0,53534.0,53603.0,52709.0,52862.0,54013.0,54160.0
42,carp-suite-intraepoch,1,128,6,1000000,2048,6100000,8199999,6100000.0,8199999.0,6100000.0,8199999.0,0.04,0,37573.0,37636.0,39092.0,39246.0,37268.0,37414.0,171.937,228868.347,6100000.0,8199999.0,6100000.0,8199999.0,6100000.0,8199999.0,37387.0,37559.0,37083.0,37262.0,39401.0,39580.0,,,,,,,,,,,,,,,,,,,,,,,,
43,carp-suite-intraepoch,1,16,12,750000,2048,6300000,7700000,5600000.0,8600000.0,5100000.0,8500000.0,0.095,0,15501.0,15516.0,18728.0,18751.0,18470.0,18478.0,77.946,217838.414,5200000.0,8700000.0,5300000.0,8500000.0,5600000.0,7800000.0,18129.0,18136.0,18436.0,18462.0,18292.0,18324.0,5600000.0,8400000.0,5000000.0,8800000.0,5100000.0,8400000.0,5100000.0,8600000.0,5000000.0,8500000.0,5100000.0,8500000.0,18071.0,18102.0,18130.0,18159.0,18332.0,18357.0,18619.0,18640.0,18270.0,18293.0,18461.0,18543.0
44,carp-suite-intraepoch,1,512,1,750000,2048,4600000,7800000,,,,,0.028,0,53550.0,53728.0,,,,,18572.854,72300.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,carp-suite-intraepoch,1,512,1,1000000,2048,213000,10300000,,,,,0.494,0,42600.0,44924.0,,,,,13095.772,58019.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,carp-suite-intraepoch,2,256,3,1000000,2048,6100000,9000000,6100000.0,9000000.0,6100000.0,9000000.0,0.055,0,30633.0,30811.0,33893.0,34017.0,33028.0,33149.0,4509.564,102487.08499999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,carp-suite-intraepoch,2,512,1,750000,2048,2700000,7600000,,,,,0.087,0,54726.0,54901.0,,,,,1959.573,56860.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,carp-suite-intraepoch-skipsort,2,256,3,750000,2048,6000000,11400000,6100000.0,10900000.0,6000000.0,10700000.0,0.07,0,32389.000000000004,32561.0,35511.0,35702.0,34575.0,34741.0,30106.542,133110.55200000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,carp-suite-intraepoch-skipsort,2,128,6,1000000,2048,5800000,8000000,5800000.0,8000000.0,5800000.0,8000000.0,0.039,0,,,,,38552.0,38671.0,255.16299999999998,230821.403,5800000.0,8000000.0,5800000.0,8000000.0,,,38186.0,38264.0,37053.0,37184.0,37492.0,37619.0,,,,,,,,,,,,,,,,,,,,,,,,
