,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,load_std,wr_dropped,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax,max_fin_dura,total_io_time,epoch3_tmin,epoch3_tmax,epoch11_wr_min,epoch11_wr_max,epoch2_tmin,epoch2_tmax,epoch12_wr_min,epoch12_wr_max,epoch1_tmin,epoch1_tmax
25,network-suite,1,64,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,43241.0,44230.0,43319.0,45250.0,42662.0,45949.0,43199.0,46245.0,40883.0,46540.0,44880.0,46436.0,45092.0,47100.0,43436.0,44392.0,44520.0,45753.0,1.926,551999.166,,,,,,,,,,
26,network-suite,2,32,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,69176.0,69562.0,69326.0,70288.0,67231.0,68283.0,73767.0,73934.0,76091.0,77647.0,70830.0,70894.0,72299.0,72932.0,70663.0,71125.0,71219.0,71799.0,0.722,855227.86,,,,,,,,,,
27,network-suite,2,256,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,19959.0,22904.0,20081.0,23336.0,19715.0,24031.0,20450.0,22810.0,19331.0,23023.0,20150.0,23120.0,20800.0,23555.0,20513.0,22693.0,19017.0,22184.0,1.709,279239.318,,,,,,,,,,
28,network-suite,2,16,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,10084.0,10092.0,10132.0,10143.0,10157.0,10170.0,10263.0,10283.0,10174.0,10192.0,10111.0,10127.0,10008.0,10027.0,10092.0,10104.0,10069.0,10086.0,0.499,122038.074,10051.0,10064.0,6500000.0,6600000.0,11207.0,11223.0,,,,
29,network-suite,1,32,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,71594.0,71705.0,71181.0,71515.0,74362.0,75107.0,71152.0,71910.0,67836.0,67995.0,69481.0,69549.0,68569.0,68820.0,70172.0,70964.0,70759.0,71054.0,1.6,860663.349,,,,,,,,,,
30,network-suite,1,16,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,10648.0,10662.0,10539.0,10556.0,10400.0,10405.0,10719.0,10736.0,10620.0,10626.0,10413.0,10424.0,10551.0,10568.0,10399.0,10407.0,10745.0,10753.0,0.635,126182.0,10570.0,10578.0,6500000.0,6600000.0,11030.0,11042.0,,,,
31,network-suite,2,128,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,28651.0,31515.0,29390.0,34432.0,30624.0,32101.999999999996,27739.0,31147.0,27144.0,32144.0,27271.0,31961.0,28551.0,31589.0,28756.0,34745.0,28170.0,32137.999999999996,1.645,388351.77800000005,,,,,,,,,,
32,network-suite,2,64,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,44006.0,45523.0,43423.0,47200.0,42970.0,43808.0,43005.0,45293.0,45329.0,48847.0,42286.0,45593.0,45560.0,48003.0,42945.0,44355.0,43761.0,48630.0,1.79,553103.081,,,,,,,,,,
33,network-suite,1,512,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,20801.0,24227.0,21287.0,25016.0,20306.0,24650.0,21625.0,24332.0,20877.0,23742.0,20422.0,24840.0,21442.0,25154.0,21530.0,24940.0,20910.0,25561.0,3.862,296312.05,,,,,,,,,,
34,network-suite,1,256,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,19720.0,22616.0,19856.0,23592.0,20051.0,22840.0,19025.0,22908.0,18576.0,23169.0,19172.0,22507.0,19240.0,22546.0,18610.0,24440.0,19774.0,23427.0,1.9919999999999998,279168.343,,,,,,,,,,
