,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
3,carp-suite-interpoch-skipsort,512,1,1,1024,44,76,0.5
6,carp-suite-interpoch-skipsort,512,1,1,1024,45,69,0.554
26,carp-suite-interpoch-skipsort,512,1,1,2048,41,62,0.277
27,carp-suite-interpoch-skipsort,512,1,1,2048,42,68,0.284
5,carp-suite-interpoch-skipsort,512,1,1,2048,43,112,0.557
34,carp-suite-interpoch-skipsort,512,1,1,2048,44,90,0.319
2,carp-suite-interpoch-skipsort,512,1,1,2048,45,96,0.474
43,carp-suite-interpoch-skipsort,512,1,2,512,41,85,0.471
42,carp-suite-interpoch-skipsort,512,1,2,512,42,75,0.53
40,carp-suite-interpoch-skipsort,512,1,2,512,43,87,0.546
29,carp-suite-interpoch-skipsort,512,1,2,512,44,84,0.361
4,carp-suite-interpoch-skipsort,512,1,2,512,45,71,0.526
7,carp-suite-interpoch-skipsort,512,1,2,1024,41,65,0.546
30,carp-suite-interpoch-skipsort,512,1,2,1024,42,91,0.569
0,carp-suite-interpoch-skipsort,512,1,2,1024,43,96,0.634
12,carp-suite-interpoch-skipsort,512,1,2,1024,44,75,0.545
9,carp-suite-interpoch-skipsort,512,1,2,1024,45,81,0.537
25,carp-suite-interpoch-skipsort,512,1,2,2048,41,86,0.463
37,carp-suite-interpoch-skipsort,512,1,2,2048,42,87,0.581
20,carp-suite-interpoch-skipsort,512,1,2,2048,43,103,0.487
17,carp-suite-interpoch-skipsort,512,1,2,2048,44,74,0.386
13,carp-suite-interpoch-skipsort,512,1,2,2048,45,124,0.415
28,carp-suite-interpoch-skipsort,512,1,3,512,41,95,0.517
44,carp-suite-interpoch-skipsort,512,1,3,512,42,105,0.319
35,carp-suite-interpoch-skipsort,512,1,3,512,43,82,0.538
31,carp-suite-interpoch-skipsort,512,1,3,512,44,83,0.576
18,carp-suite-interpoch-skipsort,512,1,3,512,45,101,0.495
8,carp-suite-interpoch-skipsort,512,1,3,1024,41,74,0.531
39,carp-suite-interpoch-skipsort,512,1,3,1024,42,77,0.303
14,carp-suite-interpoch-skipsort,512,1,3,1024,43,82,0.565
33,carp-suite-interpoch-skipsort,512,1,3,1024,44,105,0.349
19,carp-suite-interpoch-skipsort,512,1,3,1024,45,94,0.534
23,carp-suite-interpoch-skipsort,512,1,3,2048,41,78,0.259
10,carp-suite-interpoch-skipsort,512,1,3,2048,42,79,0.58
21,carp-suite-interpoch-skipsort,512,1,3,2048,43,82,0.405
22,carp-suite-interpoch-skipsort,512,1,3,2048,44,79,0.599
11,carp-suite-interpoch-skipsort,512,1,3,2048,45,85,0.371
129,carp-suite-intraepoch-nowrite,32,12,750000,512,16,947,0.061
148,carp-suite-intraepoch-nowrite,32,12,750000,512,17,941,0.059
145,carp-suite-intraepoch-nowrite,32,12,750000,512,18,929,0.061
151,carp-suite-intraepoch-nowrite,32,12,750000,512,19,942,0.05
184,carp-suite-intraepoch-nowrite,32,12,750000,512,20,915,0.051
185,carp-suite-intraepoch-nowrite,64,12,750000,512,16,632,0.112
125,carp-suite-intraepoch-nowrite,64,12,750000,512,17,619,0.081
175,carp-suite-intraepoch-nowrite,64,12,750000,512,18,617,0.073
139,carp-suite-intraepoch-nowrite,64,12,750000,512,19,623,0.068
162,carp-suite-intraepoch-nowrite,64,12,750000,512,20,640,0.102
167,carp-suite-intraepoch-nowrite,128,6,750000,512,11,235,0.115
132,carp-suite-intraepoch-nowrite,128,6,750000,512,12,226,0.072
190,carp-suite-intraepoch-nowrite,128,6,750000,512,13,227,0.077
156,carp-suite-intraepoch-nowrite,128,6,750000,512,14,237,0.107
168,carp-suite-intraepoch-nowrite,128,6,750000,512,15,232,0.087
131,carp-suite-intraepoch-nowrite,128,6,750000,512,16,234,0.077
160,carp-suite-intraepoch-nowrite,128,6,750000,512,17,230,0.076
141,carp-suite-intraepoch-nowrite,128,6,750000,512,18,231,0.079
159,carp-suite-intraepoch-nowrite,128,6,750000,512,19,234,0.072
182,carp-suite-intraepoch-nowrite,128,6,750000,512,20,228,0.101
146,carp-suite-intraepoch-nowrite,128,6,750000,1024,11,234,0.048
183,carp-suite-intraepoch-nowrite,128,6,750000,2048,11,225,0.052
154,carp-suite-intraepoch-nowrite,128,6,1000000,512,11,223,0.038
